*******************************************************************************
 Revised: July 31, 2013                  Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Fri Oct  4 08:21:27 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Sep-27 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Sep-27 00:00:00.0000 TDB
Step-size       : 1000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458753.500000000, A.D. 2019-Sep-27 00:00:00.0000,  9.978977040419635E-01,  6.586825681892025E-02, -6.320430920521123E-06, -1.286860400489670E-03,  1.711647384017109E-02, -9.331283187772758E-07,  5.775918142376203E-03,  1.000069225118208E+00, -1.567118900355586E-04,
2458753.866000000, A.D. 2019-Sep-27 08:47:02.4000,  9.974069104890377E-01,  7.213174152563256E-02, -6.652560888923476E-06, -1.395072385096997E-03,  1.711009552530636E-02, -8.812187164055997E-07,  5.775586289456395E-03,  1.000011766566306E+00, -1.572719932041906E-04,
2458754.232000000, A.D. 2019-Sep-27 17:34:04.8000,  9.968765111444703E-01,  7.839275650821755E-02, -6.965097912542240E-06, -1.503283630336338E-03,  1.710297760885832E-02, -8.261543973814080E-07,  5.775253237127341E-03,  9.999541003431309E-01, -1.578458207283185E-04,
2458754.598000000, A.D. 2019-Sep-28 02:21:07.2000,  9.963065083465960E-01,  8.465103061420447E-02, -7.256990948845190E-06, -1.611482776230493E-03,  1.709511775010894E-02, -7.685099505237673E-07,  5.774918962123365E-03,  9.998962224203553E-01, -1.584278777136075E-04,
2458754.964000000, A.D. 2019-Sep-28 11:08:09.6000,  9.956969086483375E-01,  9.090629201818870E-02, -7.527407865525606E-06, -1.719658180236888E-03,  1.708651462262881E-02, -7.089048017177979E-07,  5.774583453122802E-03,  9.998381308376940E-01, -1.590123800004802E-04,
2458755.330000000, A.D. 2019-Sep-28 19:55:12.0000,  9.950477228890700E-01,  9.715826860187081E-02, -7.775749301833048E-06, -1.827798091522002E-03,  1.707716795610937E-02, -6.479889942448386E-07,  5.774246711216994E-03,  9.997798257841067E-01, -1.595933909421333E-04,
2458755.696000000, A.D. 2019-Sep-29 04:42:14.4000,  9.943589662012987E-01,  1.034066883423274E-01, -8.001657056749743E-06, -1.935890831168705E-03,  1.706707853919674E-02, -5.864276415515748E-07,  5.773908750080513E-03,  9.997213096272727E-01, -1.601649658843913E-04,
2458756.062000000, A.D. 2019-Sep-29 13:29:16.8000,  9.936306579518802E-01,  1.096512796940851E-01, -8.205016678533756E-06, -2.043924967950415E-03,  1.705624818300549E-02, -5.248849416805206E-07,  5.773569595835361E-03,  9.996625868900761E-01, -1.607212958279477E-04,
2458756.428000000, A.D. 2019-Sep-29 22:16:19.2000,  9.928628216212521E-01,  1.158917719510288E-01, -8.385954263936874E-06, -2.151889479727026E-03,  1.704467964813200E-02, -4.640086717812382E-07,  5.773229286619796E-03,  9.996036641759513E-01, -1.612568418713592E-04,
2458756.794000000, A.D. 2019-Sep-30 07:03:21.6000,  9.920554846275524E-01,  1.221278955757343E-01, -8.544827801985911E-06, -2.259773891965914E-03,  1.703237654075665E-02, -4.044160139775171E-07,  5.772887871889359E-03,  9.995445500478604E-01, -1.617664530344476E-04,
